ID,SenId,Words,LID
258,38,Mataka,Sin-Eng
259,38,kotasak,Sin-Eng
260,39,@Gerhold,NameEntity
261,39,Sri,NameEntity
262,39,Lanka,NameEntity
263,39,3g,NameEntity
264,39,sim,English
265,39,ekak,Sin-Eng
266,39,4g,NameEntity
267,39,walata,Sin-Eng
268,39,convert,English
269,39,karaganna,Sin-Eng
270,39,puluwanda,Sin-Eng
271,40,Empty,English
272,40,barrel,English
273,40,big,English
274,40,sound,English
275,40,...,Symbol
276,40,before,English
277,40,your,English
278,40,management,English
279,40,decides,English
280,40,promotions,English
281,40,and,English
282,40,offers,English
283,40,",",Symbol
284,40,I,English
285,40,urge,English
286,40,you,English
287,40,to,English
288,40,think,English
289,40,seriously,English
290,40,about,English
291,40,getting,English
292,40,bad,English
293,40,comments,English
294,40,which,English
295,40,say,English
296,40,how,English
297,40,good,English
298,40,Batz,NameEntity
299,40,is,English
300,40,...,Symbol
301,41,i,English
302,41,phone,English
303,42,for,English
304,42,Quil,NameEntity
305,42,3g,NameEntity
306,42,pack,English
307,42,if,English
308,42,you,English
309,42,guys,English
310,42,can,English
311,42,just,English
312,42,increase,English
313,42,the,English
314,42,downlink,English
315,42,upto,English
316,42,230kbps,NameEntity
317,42,that,English
318,42,would,English
319,42,be,English
320,42,more,English
321,42,than,English
322,42,enough,English
323,42,..,Symbol
324,43,btw,English
325,43,i,English
326,43,enjoy,English
327,43,a,English
328,43,lot,English
329,43,your,English
330,43,service,English
331,43,😎,Symbol
332,44,Adsl,English
333,44,hariyata,Sin-Eng
334,44,dila,Sin-Eng
335,44,idapn,Sin-Eng
336,44,okmmata,Sin-Eng
337,44,kalin,Sin-Eng
338,45,Kaluthara,NameEntity
339,45,dodangoda,NameEntity
340,45,paththata,Sin-Eng
341,45,signal,English
342,45,adui,Sin-Eng
343,46,එසේම,Sinhala
344,46,වේවා,Sinhala
345,46,❤,Symbol
346,46,❤,Symbol
347,46,❤,Symbol
348,46,🙂,Symbol
349,47,Quil,NameEntity
350,47,app,English
351,47,1ke,Sin-Eng
352,47,mage,Sin-Eng
353,47,invite,English
354,47,code,English
355,47,1ka,Sin-Eng
356,47,yaaluwanta,Sin-Eng
357,47,yawala,Sin-Eng
358,47,peya,Sin-Eng
359,47,6,NameEntity
360,47,free,English
361,47,ganna,Sin-Eng
362,47,ba,Sin-Eng
363,47,ooii,Sin-Eng
364,47,.,Symbol
365,47,😢,Symbol
366,47,Ai,Sin-Eng
367,47,ehema,Sin-Eng
368,47,mata,Sin-Eng
369,47,witharak,Sin-Eng
370,47,...,Symbol
371,48,දැන්,Sinhala
372,48,ආධ්‍යාත්මික,Sinhala
373,48,සුවය,Sinhala
374,48,😂,Symbol
375,49,news,English
376,49,ekak,Sin-Eng
377,49,balanna,Sin-Eng
378,49,widiyak,Sin-Eng
379,49,ne,Sin-Eng
380,50,wasset,Sin-Eng
381,50,tv,English
382,50,balanna,Sin-Eng
383,50,Nikz,NameEntity
384,50,tv,NameEntity
385,50,gatta,Sin-Eng
386,50,e,Sin-Eng
387,50,unata,Sin-Eng
388,50,kisima,Sin-Eng
389,50,wadak,Sin-Eng
390,50,ne,Sin-Eng
391,50,...,Symbol
392,51,අර,Sinhala
393,51,peace,NameEntity
394,51,tv,NameEntity
395,51,කියන,Sinhala
396,51,මගුල,Sinhala
397,51,නවත්තලා,Sinhala
398,51,දාන්න,Sinhala
399,51,🤨,Symbol
400,51,🤨,Symbol
401,51,🤨,Symbol
402,52,Here,English
403,52,are,English
404,52,the,English
405,52,final,English
406,52,vote,English
407,52,counts,English
408,52,for,English
409,52,today's,English
410,52,matches,English
411,52,!,Symbol
412,52,Dial,English
413,52,*,Symbol
414,52,646,NameEntity
415,52,#,Symbol
416,52,to,English
417,52,vote,English
418,52,for,English
419,52,your,English
420,52,favourite,English
421,52,team,English
422,52,before,English
423,52,15:00,NameEntity
424,52,every,English
425,52,day,English
426,52,!,Symbol
427,53,bata,Sin-Eng
428,53,thuwakkuwa,Sin-Eng
429,54,Ok,English
430,55,oya,Sin-Eng
431,55,lage,Sin-Eng
432,55,4g,NameEntity
433,55,wifi,NameEntity
434,55,routa,English
435,55,ra,Sin-Eng
436,55,yak,Sin-Eng
437,55,kiya,Sin-Eng
438,55,k,Sin-Eng
439,55,we,English
440,55,na,Sin-Eng
441,55,wada,Sin-Eng
442,56,It's,English
443,56,been,English
444,56,a,English
445,56,week,English
446,56,since,English
447,56,our,English
448,56,phone,English
449,56,line,English
450,56,and,English
451,56,Nikz,NameEntity
452,56,TV,NameEntity
453,56,connection,English
454,56,weren't,English
455,56,working,English
456,57,I've,English
457,57,complained,English
458,57,more,English
459,57,than,English
460,57,10,NameEntity
461,57,times,English
462,57,but,English
463,57,still,English
464,57,no,English
465,57,solution,English
646,58,Zemlaks,NameEntity
467,58,have,English
468,58,the,English
469,58,worst,English
470,58,after-sales,English
471,58,service,English
472,58,🤬,Symbol
473,58,🤬,Symbol
474,59,Mamath,Sin-Eng
475,59,Gerhold,NameEntity
476,59,thamaa,Sin-Eng
477,59,super,English
478,60,Lebsack,NameEntity
479,60,tv,NameEntity
480,60,ganea,Sin-Eng
481,60,epa,Sin-Eng
482,60,DISH,NameEntity
483,60,TV,NameEntity
484,60,INDIA,NameEntity
485,60,samagama,Sin-Eng
486,60,lagadima,Sin-Eng
487,60,enawa,Sin-Eng
488,61,hoda,Sin-Eng
489,61,wadak,Sin-Eng
490,62,මේ,Sinhala
491,62,බලපන්,Sinhala
492,62,මේකේ,Sinhala
493,62,2772,NameEntity
494,62,ගහන,Sinhala
495,62,මොඩයොත්,Sinhala
496,62,ඉන්නවා,Sinhala
497,62,නේ,Sinhala
498,63,බාටෙල්,NameEntity
499,63,😂,Symbol
500,63,අකුලන්,Sinhala
501,63,යන්න,Sinhala
502,64,අැත්තටම,Sinhala
503,64,නියමයි,Sinhala
504,64,වටිනවා,Sinhala
505,64,.,Symbol
506,64,ස්තුතිය,Sinhala
507,64,Batz,NameEntity
508,64,Zemlak ,NameEntity
509,64,💐,Symbol
510,64,💖,Symbol
511,65,කයියයි,Sinhala
512,65,පඩ,Sinhala
513,65,ගඳයි,Sinhala
514,65,විතරයි,Sinhala
515,66,Data,English
516,67,Done,English
517,67,✔,Symbol
518,68,nice,English
519,68,bn,Sin-Eng
520,68,ubala,Sin-Eng
521,68,thama,Sin-Eng
522,68,hodama,Sin-Eng
523,68,den,Sin-Eng
524,68,signaluth,Mixed
525,68,thiyena,Sin-Eng
526,68,ft,Sin-Eng
527,69,Cogrtulations,English
528,69,&,English
529,69,keep,English
530,69,it,English
531,69,up,English
532,69,boys,English
533,70,Moratuwa,NameEntity
534,71,වෙන්නප්පුව,NameEntity
535,72,Captain,NameEntity
536,72,america,NameEntity
537,72,civil,English
538,72,war,English
539,73,Great,English
540,73,step,English
541,73,👍,Symbol
542,74,1494569123,NameEntity
543,74,3,NameEntity
544,74,මේ,Sinhala
545,74,4G,NameEntity
546,74,router,English
547,74,එකට,Sinhala
548,74,මම,Sinhala
549,74,online,English
550,74,payment,English
551,74,එකක්,Sinhala
552,74,කලා,Sinhala
553,74,.,Symbol
554,74,තවම,Sinhala
555,74,එය,Sinhala
556,74,ලැබුනේ,Sinhala
557,74,නෑනෙ,Sinhala
558,75,Done,English
559,75,...,Symbol
560,75,Please,English
561,75,check,English
562,75,inboxed,English
563,75,Try,English
564,75,this,English
565,75,my,English
566,75,friends,English
567,76,Dilan,NameEntity
568,76,Disanayake,NameEntity
569,76,Prabodhi,NameEntity
570,76,Weeramantry,NameEntity
571,76,Udeesha,NameEntity
572,76,Dilmikaka,NameEntity
573,76,Randika,NameEntity
574,76,nimaltha,NameEntity
575,76,Poornima,NameEntity
576,76,Seneviratne,NameEntity
577,76,#BatzAvatarChallenge,NameEntity
578,77,My,English
579,77,favourite,English
580,77,BRAZIL,NameEntity
581,78,Song,English
582,78,Name,English
583,78,:,Symbol
584,78,Dharani,NameEntity
585,78,.,Symbol
586,78,Artist,English
587,78,Name,English
588,78,:,Symbol
589,78,Ashan,NameEntity
590,78,Akila,NameEntity
591,78,.,Symbol
592,78,Youtube,NameEntity
593,78,walinm,Sin-Eng
594,78,pamanai,Sin-Eng
595,78,..,Symbol
596,78,👌,Symbol
597,78,👌,Symbol
598,79,Tharindu,NameEntity
599,79,Jayasena,NameEntity
600,80,Thanks,English
601,81,Youtube,NameEntity
602,81,balanna,Sin-Eng
603,81,barida,Sin-Eng
604,82,Arthur,NameEntity
605,82,Conan,NameEntity
606,82,Doyle,NameEntity
607,83,Data,English
608,83,තිබුනට,Sinhala
609,83,සිග්නල්,Eng-Sin
610,83,නෑ,Sinhala
611,83,නේ,Sinhala
612,84,most,English
613,84,useless,English
614,84,tv,English
615,84,provider,English
616,84,ever,English
617,84,",",Symbol
618,84,call,English
619,84,center,English
620,84,after,English
621,84,6,NameEntity
622,84,calls,English
623,84,connection,English
624,84,still,English
625,84,not,English
626,84,activated,English
627,84,",",Symbol
628,84,one,English
629,84,week,English
630,84,before,English
631,84,i,English
632,84,was,English
633,84,asked,English
634,84,to,English
635,84,pay,English
636,84,1000,NameEntity
637,84,/,Symbol
638,84,-,Symbol
639,84,FOR,English
640,84,RECONNECTION,English
641,84,",",Symbol
642,84,after,English
643,84,5,NameEntity
644,84,days,English
645,84,still,English
646,84,not,English
647,84,connected,English
648,84,",",Symbol
649,84,again,English
650,84,when,English
651,84,i,English
652,84,called,English
653,84,i,English
654,84,was,English
655,84,asked,English
656,84,to,English
657,84,pay,English
658,84,1000,NameEntity
659,84,/,Symbol
660,84,-,Symbol
661,84,then,English
662,84,i,English
663,84,was,English
664,84,asked,English
665,84,to,English
666,84,visit,English
667,84,a,English
668,84,dialof,English
669,84,arcade,English
670,84,",",Symbol
671,84,arcade,English
672,84,said,English
673,84,not,English
674,84,there,English
675,84,business,English
676,84,and,English
677,84,asked,English
678,84,me,English
697,84,to,English
680,84,contact,English
681,84,call,English
682,84,center,English
683,84,by,English
684,84,phone,English
685,84,",",Symbol
686,84,today,English
687,84,i,English
688,84,called,English
689,84,call,English
690,84,center,English
691,84,and,English
692,84,the,English
693,84,donkeys,English
694,84,are,English
695,84,asking,English
696,84,me,English
697,84,to,English
698,84,visit,English
699,84,a,English
700,84,arcade,English
701,84,",",Symbol
702,84,this,English
703,84,is,English
704,84,a,English
705,84,joke,English
706,84,more,English
707,84,6,NameEntity
708,84,calls,English
709,84,and,English
710,84,2,NameEntity
711,84,visits,English
712,84,",",Symbol
713,84,CALL,English
714,84,CENTER,English
715,84,PASSING,English
716,84,THE,English
717,84,BALL,English
718,84,TO,English
719,84,ARCADE,English
720,84,",",Symbol
721,84,ARCADE,English
722,84,PASSING,English
723,84,THE,English
724,84,BALL,English
725,84,TO,English
726,84,CALL,English
727,84,CENTER,English
728,84,",",Symbol
729,84,where,English
730,84,i,English
731,84,have,English
732,84,to,English
733,84,spend,English
734,84,my,English
735,84,time,English
736,84,on,English
737,84,15,NameEntity
738,84,minute,English
739,84,calls,English
740,84,for,English
741,84,nothing,English
742,84,",",Symbol
743,84,i,English
744,84,have,English
745,84,2,NameEntity
746,84,connections,English
747,84,(,Symbol
748,84,7680876,NameEntity
749,84,0,NameEntity
750,84,and,English
751,84,6074309,NameEntity
752,84,1,NameEntity
753,84,),Symbol
754,84,both,English
755,84,will,English
756,84,be,English
757,84,converted,English
758,84,soon,English
759,84,to,English
760,84,Nikz,NameEntity
761,84,TV,NameEntity
762,85,Issalla,Sin-Eng
763,85,apruwata,Sin-Eng
764,85,signal,English
765,85,thibunu,Sin-Eng
766,85,sim,English
767,85,ekata,Sin-Eng
768,85,dan,Sin-Eng
769,85,signal,English
770,85,naththe,Sin-Eng
771,85,ai,Sin-Eng
772,86,Correct,English
773,86,answer,English
774,86,is,English
775,86,30,NameEntity
776,86,#SriLankaZemlakPLC,English
777,87,උන,Sinhala
778,87,බට,Sinhala
779,87,gun,English
780,87,ek,Sin-Eng
781,87,kiyl,Sin-Eng
782,88,I,English
783,88,LOve,English
784,88,u,English
785,88,snga,NameEntity
786,89,තොපි,Sinhala
787,89,කරන,Sinhala
788,89,ජරා,Sinhala
789,89,වැඩ,Sinhala
790,89,වලට,Sinhala
791,89,හෙන,Sinhala
792,89,ගහපන්,Sinhala
793,89,සක්කිලි,Sinhala
794,89,බල්ලො,Sinhala
795,90,පැකේජ්,Eng-Sin
796,90,එක,Sinhala
797,90,මාරු,Sinhala
798,90,කරන්න,Sinhala
799,90,කියලා,Sinhala
800,90,4,NameEntity
801,90,පාරක්,Sinhala
802,90,කෝල්,Eng-Sin
803,90,කලා,Sinhala
804,90,..,Symbol
805,90,තාම,Sinhala
806,90,කිසිම,Sinhala
807,90,ප්‍රතිචාරයක්,Sinhala
808,90,නෑ,Sinhala
809,90,..,Symbol
810,90,very,English
811,90,poor,English
812,90,service,English
813,91,Mage,Sin-Eng
814,91,rank,English
815,91,eka,Sin-Eng
816,91,basae,Sin-Eng
817,91,pin,English
818,91,eka,Sin-Eng
819,91,hinda,Sin-Eng
820,92,ENABLE,English
821,92,EXISTING,English
822,92,ALL,English
823,92,Batz,NameEntity
824,92,Nikz,NameEntity
825,92,TV,NameEntity
826,92,PACKAGE,English
827,92,FOR,English
828,92,Batz,NameEntity
829,92,Nikz,NameEntity
830,92,TV,NameEntity
831,92,OTT,English
832,92,SERVICE,English
833,92,(,Symbol
834,92,EXAMPLE,English
835,92,),Symbol
836,92,TITANIUM,NameEntity
837,92,PACKAGE,English
838,92,ANY,English
839,92,PROGRESS,English
840,92,?,Symbol
841,93,Trying,English
842,93,to,English
843,93,reach,English
844,93,2211,NameEntity
845,93,from,English
846,93,friday,English
847,93,onwards,English
848,93,and,English
849,93,still,English
850,93,it,English
851,93,doesnt,English
852,93,work,English
853,94,When,English
854,94,i,English
855,94,called,English
856,94,the,English
857,94,head,English
858,94,office,English
859,94,the,English
860,94,line,English
861,94,is,English
862,94,continously,English
863,94,busy,English
864,94,please,English
865,94,be,English
866,94,more,English
867,94,concerned,English
868,94,regarding,English
869,94,your,English
870,94,customer,English
871,94,service,English
872,95,Mathra,NameEntity
873,95,Gerhold,NameEntity
874,95,company,English
875,95,yak,Sin-Eng
876,95,thiyeedaa,Sin-Eng
877,96,Koo,Sin-Eng
878,96,ampara,NameEntity
879,96,district,English
880,96,alamkulam,NameEntity
881,96,area,English
882,96,2g,NameEntity
883,96,coverage,English
884,97,Zoom,NameEntity
885,97,walata,Sin-Eng
886,97,unlimited,English
887,97,packages,English
888,97,thynwada,Sin-Eng
889,98,YAKOOO,Sin-Eng
890,98,AHENAWA,Sin-Eng
891,99,ගම්පහ,NameEntity
892,99,Batz,NameEntity
893,99,4g,NameEntity
894,99,maintenance,English
895,99,මැනේජරයගේ,Mixed
896,99,contact,English
897,99,number,English
898,99,එක,Sinhala
899,99,තියන,Sinhala
900,99,කෙනෙක්,Sinhala
901,99,ඉන්නවද,Sinhala
902,100,හැමදාම,Sinhala
903,100,signal,English
904,100,නෑ,Sinhala
905,100,කියලා,Sinhala
906,100,මන්,Sinhala
907,100,complain,English
908,100,කරනවා,Sinhala
909,100,උන්,Sinhala
910,100,මට,Sinhala
911,100,call,English
912,100,එකක්වත්,Sinhala
913,100,නොදී,Sinhala
914,100,issue,English
915,100,එක,Sinhala
916,100,reslove,English
917,100,කලා,Sinhala
918,100,කියලා,Sinhala
919,100,complain,English
920,100,එක,Sinhala
921,100,close,English
922,100,කරලා,Sinhala
923,100,දානවා,Sinhala
924,100,.,Symbol
925,100,1-1198675604,NameEntity
926,100,8,NameEntity
927,100,1-1211979931,NameEntity
928,100,1,NameEntity
929,101,3G,NameEntity
930,101,sim,English
931,101,walata,Sin-Eng
932,101,package,English
933,101,eka,Sin-Eng
934,101,active,English
935,101,karaganna,Sin-Eng
936,101,puluwanda,Sin-Eng
937,102,Yakoooo,Sinhala
938,102,1st,English
939,102,bunch,English
940,102,eka,Sin-Eng
941,102,pennapiyaw,Sin-Eng
942,103,1GB,NameEntity
943,103,පැනපු,Sinhala
944,103,ගමන්,Sinhala
945,103,ෂෙයාරින්,Eng-Sin
946,103,එක,Sinhala
947,103,කට්,Eng-Sin
948,103,වෙනවා,Sinhala
949,104,මේ,Sinhala
950,104,පැකේජ්,Eng-Sin
951,104,එක,Sinhala
952,104,තනිකරම,Sinhala
953,104,වංචාවක්,Sinhala
954,105,ස්පීඩ්,Eng-Sin
955,105,අඩු,Sinhala
956,105,කළාට,Sinhala
957,105,කමක්,Sinhala
958,105,නැහැ,Sinhala
959,105,.,Symbol
960,105,නමුත්,Sinhala
961,105,ෂෙයාරින්,Eng-Sin
962,105,කරන,Sinhala
963,105,එකවත්,Sinhala
964,105,බ්ලොග්,Eng-Sin
965,105,නොකර,Sinhala
966,105,ඉන්නව,Sinhala
967,105,නම්,Sinhala
968,106,මම,Sinhala
969,106,මේක,Sinhala
970,106,ගත්තා,Sinhala
971,107,night,English
972,107,time,English
973,107,data,English
974,107,12,NameEntity
975,107,idan,Sin-Eng
976,107,8,NameEntity
977,107,wenakan,Sin-Eng
978,107,dennako,Sin-Eng
979,108,Meka,Sin-Eng
980,108,fb,NameEntity
981,108,massenger,NameEntity
982,108,valata,Sin-Eng
983,108,adala,Sin-Eng
984,108,na,Sin-Eng
985,108,neda,Sin-Eng
986,108,Skype,NameEntity
987,108,valata,Sin-Eng
988,108,adalada,Sin-Eng
989,109,thankz,English
990,110,Singnal,English
991,110,nne,Sin-Eng
992,110,mehet,Sin-Eng
993,110,😒,Symbol
994,111,Can't,English
995,111,use,English
996,111,this,English
997,111,package,English
998,111,with,English
999,111,out,English
1000,111,anytime,English
1001,111,date,English
1002,111,Today,English
1003,111,over,English
1004,111,is,English
1005,111,my,English
1006,111,data,English
1007,111,but,English
1008,111,can't,English
1009,111,be,English
1010,111,logging,English
1011,111,YouTube,NameEntity
1012,111,?,Symbol
1013,111,?,Symbol
1014,111,?,Symbol
1015,112,Cim,NameEntity
1016,112,app,English
1017,112,aka,Sin-Eng
1018,112,regeneration,English
1019,112,wanna,Sin-Eng
1020,112,kohamada,Sin-Eng
1021,113,Ravelpindi,NameEntity
1022,113,express,English
1023,114,best,English
1024,114,srilankan,English
1025,114,batsman,English
1026,114,for,English
1027,114,ever,English
1028,115,Congratulations,English
1029,115,Batz,NameEntity
1030,116,ජාතික,Sinhala
1031,116,ජංගම,Sinhala
1032,116,දුරකතන,Sinhala
1033,116,ජාලය,Sinhala
1034,117,Monada,Sin-Eng
1035,117,bn,Sin-Eng
1036,117,me,English
1037,117,Gerhold,NameEntity
1038,117,issla,Sin-Eng
1039,117,hodta,Sin-Eng
1040,117,tibba,Sin-Eng
1041,117,speed,English
1042,117,limite,English
1043,117,krnwa,Sin-Eng
1044,117,issla,Sin-Eng
1045,117,ubla,Sin-Eng
1046,117,3G,NameEntity
1047,117,package,English
1048,117,4G,NameEntity
1049,117,package,English
1050,117,walta,Sin-Eng
1051,117,wada,Sin-Eng
1052,117,hodi,Sin-Eng
1053,117,😂,Symbol
1054,117,😂,Symbol
1055,117,😂,Symbol
1056,117,Gerhold,NameEntity
1057,117,ain,Sin-Eng
1058,117,kala,Sin-Eng
1059,118,Unlimited,English
1060,118,connections,English
1061,118,for,English
1062,118,reasonable,English
1063,118,price,English
1064,118,...,Symbol
1065,118,plzz,English
1066,119,අලුත්,Sinhala
1067,119,එකව්න්ට්,Eng-Sin
1068,119,එකක්,Sinhala
1069,119,ද,Sinhala
1070,119,බන්,Sinhala
1071,120,How,English
1072,120,can,English
1073,120,i,English
1074,120,activate,English
1075,120,?,Symbol
1076,121,Free,English
1077,121,Data,English
1078,121,?,Symbol
1079,121,😆,Symbol
1080,121,we,English
1081,121,pay,English
1082,121,for,English
1083,121,that,English
1084,122,Gedara,Sin-Eng
1085,122,pala,Sin-Eng
1086,122,Tharindu,NameEntity
1087,122,nodakin,Sin-Eng
1088,123,සුභ,Sinhala
1089,123,උපන්,Sinhala
1090,123,දිනයක්,Sinhala
1091,123,වේවා,Sinhala
1092,123,👏,Symbol
1093,124,Apita,Sin-Eng
1094,124,hambaweida,Sin-Eng
1095,124,?,Symbol
1096,125,Maga,Sin-Eng
1097,125,ratata,Sin-Eng
1098,125,dalada,Sin-Eng
1099,125,samidu,Sin-Eng
1100,125,pihitai,Sin-Eng
1101,125,sadu,Sin-Eng
1102,125,Sadu,Sin-Eng
1103,125,sadu,Sin-Eng
1104,126,well,English
1105,126,done,English
1106,127,Batz,NameEntity
1107,127,Fiber,English
1108,127,now,English
1109,127,available,English
1110,127,in,English
1111,127,moon,English
1112,127,😂,Symbol
1113,128,Dn,Sin-Eng
1114,128,Gerhold,NameEntity
1115,128,walata,Sin-Eng
1116,128,signal,English
1117,128,na,Sin-Eng
1118,128,issarana,Sin-Eng
1119,128,nm,Sin-Eng
1120,128,3G,NameEntity
1121,128,Hri,Sin-Eng
1122,128,tybna,Sin-Eng
1123,128,dan,Sin-Eng
1124,128,ekath,Sin-Eng
1125,128,na,Sin-Eng
1126,129,How,English
1127,129,to,English
1128,129,join,English
1129,129,bro,English
1130,130,Waiting,English
1131,131,4G,NameEntity
1132,131,හරියට,Sinhala
1133,131,දීගන්නා,Sinhala
1134,131,බෑ,Sinhala
1135,131,.,Symbol
1136,131,ඉස්සර,Sinhala
1137,131,වෙලා,Sinhala
1138,131,එක,Sinhala
1139,131,හරියට,Sinhala
1140,131,දීලා,Sinhala
1141,131,ඉඳපල්ලා,Sinhala
1142,132,frree,English
1143,132,da,Sin-Eng
1144,133,අපි,Sinhala
1145,133,ඔටුවොද,Sinhala
1146,133,යකෝ,Sinhala
1147,133,අලුත්,Sinhala
1148,133,උන්ට,Sinhala
1149,133,විතරද,Sinhala
1150,133,offers,English
1151,133,පාහර,Sinhala
1152,133,හැත්ත,Sinhala
1153,133,ගන්නකං,Sinhala
